Symbol,StartDate,EndDate,Duration,BuyPrice,SellPrice,ShareSize,Profit,ProfitPercent,isProfitable,isShortSale
TQQQ,2013-10-17,2014-10-17,252,1.95,2.98,5128,5281.84,0.528205,True,False
TQQQ,2014-10-20,2015-08-24,212,2.98,3.13,5128,769.2,0.050336,True,False
TQQQ,2015-09-17,2015-09-21,2,4.23,4.13,3794,-379.4,-0.023641,False,False
TQQQ,2015-10-16,2016-01-07,56,4.32,4.03,3627,-1051.83,-0.06713,False,False
TQQQ,2016-04-13,2016-04-28,11,4.4,4.08,3322,-1063.04,-0.072727,False,False
TQQQ,2016-05-25,2016-06-20,17,4.19,4.08,3235,-355.85,-0.026253,False,False
TQQQ,2016-06-24,2016-06-27,1,3.75,3.59,3520,-563.2,-0.042667,False,False
TQQQ,2016-07-05,2016-07-06,1,4.02,3.94,3143,-251.44,-0.0199,False,False
TQQQ,2016-07-07,2018-10-12,572,4.11,14.45,3013,31154.42,2.515815,True,False
TQQQ,2018-10-15,2018-10-25,8,14.37,12.77,3029,-4846.4,-0.111343,False,False
TQQQ,2018-11-08,2018-11-12,2,14.2,13.12,2724,-2941.92,-0.076056,False,False
TQQQ,2019-03-05,2019-03-08,3,13.04,11.94,2741,-3015.1,-0.084356,False,False
TQQQ,2019-03-12,2019-06-03,57,13.16,12.46,2487,-1740.9,-0.053191,False,False
TQQQ,2019-06-05,2020-03-10,192,13.07,17.0,2371,9318.03,0.300689,True,False
TQQQ,2020-03-11,2020-03-12,1,16.44,12.38,2452,-9955.12,-0.246959,False,False
TQQQ,2020-04-09,2022-01-21,450,13.98,60.62,2171,101255.44,3.336195,True,False
TQQQ,2022-02-03,2022-02-04,1,59.32,56.87,2218,-5434.1,-0.041301,False,False
TQQQ,2022-02-10,2022-02-11,1,59.31,58.78,2127,-1127.31,-0.008936,False,False
TQQQ,2023-03-30,2024-12-31,441,26.82,81.8,4662,256316.76,2.049963,True,False
