Date,Price,Open,High,Low,Vol.,Change %
10/24/2025,617.1,615.99,618.42,615.13,47.63M,1.07%
10/23/2025,610.58,604.91,611.37,604.52,42.84M,0.84%
10/22/2025,605.49,610.82,611.41,599.74,61.48M,-0.96%
10/21/2025,611.38,611.64,612.72,609.32,44.54M,-0.03%
10/20/2025,611.54,607.14,612.8,607.07,45.76M,1.26%
10/17/2025,603.93,597.95,605.51,596.37,72.02M,0.66%
10/16/2025,599.99,605.11,608.31,595.5,70.98M,-0.37%
10/15/2025,602.22,604.01,606.7,595.93,62.81M,0.71%
10/14/2025,598.0,595.31,602.69,590.13,69.20M,-0.67%
10/13/2025,602.01,599.68,602.95,597.23,65.87M,2.12%
10/10/2025,589.5,611.4,613.18,589.05,97.61M,-3.47%
10/9/2025,610.7,611.48,611.61,607.48,45.55M,-0.12%
10/8/2025,611.44,605.41,611.75,605.26,50.63M,1.15%
10/7/2025,604.51,609.02,609.71,603.03,58.21M,-0.53%
10/6/2025,607.71,608.45,609.36,605.97,41.96M,0.75%
10/3/2025,603.18,606.51,607.33,601.39,46.48M,-0.42%
10/2/2025,605.73,607.06,607.16,602.93,43.77M,0.41%
10/1/2025,603.25,597.17,603.79,596.34,46.90M,0.48%
9/30/2025,600.37,598.43,600.71,596.1,46.53M,0.27%
9/29/2025,598.73,599.11,602.05,597.41,48.33M,0.46%
9/26/2025,595.97,594.35,596.3,591.06,54.34M,0.41%
9/25/2025,593.53,592.2,595.11,588.5,70.92M,-0.43%
9/24/2025,596.1,599.58,599.9,593.36,49.85M,-0.35%
9/23/2025,598.2,602.37,602.57,596.98,64.64M,-0.66%
9/22/2025,602.2,597.74,602.87,597.72,57.15M,0.48%
9/19/2025,599.35,597.33,600.05,595.85,58.20M,0.68%
9/18/2025,595.32,594.91,598.14,592.96,61.07M,0.90%
9/17/2025,590.0,591.1,591.75,584.36,69.38M,-0.20%
9/16/2025,591.18,592.61,592.86,590.49,36.94M,-0.08%
9/15/2025,591.68,588.44,591.79,588.29,44.36M,0.86%
9/12/2025,586.66,585.04,587.86,584.1,50.75M,0.44%
9/11/2025,584.08,583.24,584.88,581.62,44.75M,0.58%
9/10/2025,580.7,583.74,583.77,578.55,49.31M,0.03%
9/9/2025,580.51,579.67,580.94,577.04,44.01M,0.28%
9/8/2025,578.87,578.37,580.84,577.77,46.37M,0.49%
9/5/2025,576.06,580.49,581.12,571.53,68.34M,0.14%
9/4/2025,575.23,570.74,575.6,569.03,47.53M,0.91%
9/3/2025,570.07,569.23,571.7,566.72,54.23M,0.79%
9/2/2025,565.62,561.31,565.97,559.53,65.88M,-0.84%
8/29/2025,570.4,574.66,575.03,568.54,56.03M,-1.16%
8/28/2025,577.08,574.11,578.0,572.46,46.79M,0.63%
8/27/2025,573.49,571.59,574.41,570.37,36.93M,0.15%
8/26/2025,572.61,569.83,572.92,568.8,34.10M,0.40%
8/25/2025,570.32,570.4,573.29,569.16,34.04M,-0.29%
8/22/2025,571.97,564.67,573.99,563.27,51.50M,1.54%
8/21/2025,563.28,564.35,566.49,560.98,46.44M,-0.46%
8/20/2025,565.9,568.33,568.45,558.84,76.78M,-0.59%
8/19/2025,569.28,576.39,576.56,568.25,53.75M,-1.36%
8/18/2025,577.11,576.44,577.77,575.24,29.83M,-0.04%
8/15/2025,577.34,579.8,579.84,575.57,49.48M,-0.44%
8/14/2025,579.89,578.28,581.88,577.91,45.43M,-0.08%
8/13/2025,580.34,582.76,583.32,578.94,41.21M,0.05%
8/12/2025,580.05,575.16,580.35,572.48,42.27M,1.26%
8/11/2025,572.85,574.69,576.8,571.57,33.11M,-0.30%
8/8/2025,574.55,570.45,574.77,570.15,35.26M,0.93%
