Date,Price,Open,High,Low,Vol.,Change %,SMA_20,SMA_60
03/11/1999,51.07,51.2,51.49,50.08,9.69M,0.49%,,
03/12/1999,49.83,50.89,50.92,49.42,8.74M,-2.43%,,
03/15/1999,51.26,50.2,51.32,49.67,6.37M,2.87%,,
03/16/1999,51.7,51.48,51.91,50.92,4.91M,0.86%,,
03/17/1999,51.32,51.7,51.76,51.17,3.97M,-0.74%,,
03/18/1999,52.32,51.26,52.35,51.24,4.85M,1.95%,,
03/19/1999,50.98,53.0,53.0,50.95,7.16M,-2.56%,,
03/22/1999,50.36,51.2,51.32,50.26,5.02M,-1.22%,,
03/23/1999,48.59,50.08,50.26,48.49,10.96M,-3.51%,,
03/24/1999,50.23,49.02,50.26,48.27,8.45M,3.38%,,
03/25/1999,52.07,51.01,52.07,50.68,8.13M,3.66%,,
03/26/1999,51.51,51.63,52.22,51.29,8.26M,-1.08%,,
03/29/1999,53.38,52.13,53.41,51.82,5.11M,3.63%,,
03/30/1999,53.0,53.31,53.75,52.78,4.94M,-0.71%,,
03/31/1999,52.22,53.87,53.94,52.07,8.26M,-1.47%,,
04/01/1999,53.31,53.75,53.81,52.44,8.72M,2.09%,,
04/05/1999,55.24,54.18,55.32,53.84,5.70M,3.62%,,
04/06/1999,55.35,55.18,55.96,54.71,7.52M,0.20%,,
04/07/1999,54.77,55.86,55.99,53.59,11.92M,-1.05%,,
04/08/1999,55.21,54.68,55.47,53.56,7.95M,0.80%,52.186,
04/09/1999,55.55,55.12,55.68,54.96,4.95M,0.62%,52.410000000000004,
04/12/1999,55.18,54.25,55.55,54.18,10.93M,-0.67%,52.677499999999995,
04/13/1999,54.43,55.52,55.65,54.0,9.96M,-1.36%,52.836,
04/14/1999,52.57,55.12,55.18,52.26,21.25M,-3.42%,52.87949999999999,
04/15/1999,53.28,52.75,53.37,50.89,17.65M,1.35%,52.9775,
04/16/1999,51.73,53.16,53.16,51.45,17.27M,-2.91%,52.948,
04/19/1999,49.3,52.07,52.5,48.78,19.46M,-4.70%,52.864,
04/20/1999,50.42,49.08,50.82,48.62,17.41M,2.27%,52.867,
04/21/1999,52.91,50.89,52.94,50.2,10.94M,4.94%,53.083000000000006,
04/22/1999,54.34,53.41,54.49,53.06,13.63M,2.70%,53.2885,
04/23/1999,55.05,54.06,55.46,53.5,7.06M,1.31%,53.4375,
04/26/1999,56.32,55.43,56.73,55.25,5.42M,2.31%,53.678,
04/27/1999,55.46,56.73,57.01,54.75,16.48M,-1.53%,53.782000000000004,
04/28/1999,53.56,54.99,55.18,53.32,7.68M,-3.43%,53.81,
04/29/1999,53.13,53.31,53.62,52.01,19.15M,-0.80%,53.85549999999999,
04/30/1999,53.47,53.87,54.15,51.57,15.30M,0.64%,53.8635,
