Date,Price,Open,High,Low,Vol.,Change %
03/11/1999,4338271494.021983,4305141948.639788,4590565724.240219,4231237578.171822,0.00K,0.00%
03/12/1999,4654276388.436744,4357254535.833314,4769162199.349391,4348848256.986048,0.00K,7.28%
03/15/1999,4253577096.717026,4517454879.931229,4649393771.538332,4238640618.42188,0.00K,-8.61%
03/16/1999,4144042922.552636,4196945598.159693,4331606954.250376,4093544914.018632,0.00K,-2.58%
03/17/1999,4235420271.32846,4141336500.687102,4272558601.844784,4126481168.480574,0.00K,2.21%
03/18/1999,3987831401.219624,4230211062.07357,4234784263.221756,3980971599.497342,0.00K,-5.85%
03/19/1999,4294235878.148197,3783779435.983072,4301816914.417974,3783779435.983072,0.00K,7.68%
03/22/1999,4450910627.723632,4228188332.611171,4477425186.665592,4196370861.880819,0.00K,3.65%
03/23/1999,4920218320.996318,4467586588.235389,4950596289.637993,4412906244.68038,0.00K,10.54%
03/24/1999,4422019635.27288,4741588245.18808,4939667962.077666,4414096446.597295,0.00K,-10.13%
03/25/1999,3936064063.170424,4176445928.368848,4251281792.062696,3936064063.170424,0.00K,-10.99%
03/26/1999,4063058256.10544,4034661809.35339,4115118408.484194,3895045946.155827,0.00K,3.23%
03/29/1999,3620546960.886034,3874894115.31321,3937972209.61115,3614442629.179782,0.00K,-10.89%
03/30/1999,3697868495.831896,3632981369.395599,3743917424.270556,3540883512.518278,0.00K,2.14%
03/31/1999,3861132878.47806,3495131198.116772,3894405758.510904,3479603854.101444,0.00K,4.42%
04/01/1999,3619349950.239392,3529731831.04382,3796549413.194275,3517511178.42624,0.00K,-6.26%
04/05/1999,3226252291.040628,3411977893.602344,3471550256.688177,3212235264.432196,0.00K,-10.86%
04/06/1999,3206978879.454036,3236528278.343314,3318223675.272494,3100948683.439565,0.00K,-0.6%
04/07/1999,3307794475.664513,3110305194.389674,3521590211.356542,3086751426.89818,0.00K,3.14%
04/08/1999,3228074031.847148,3321039757.451874,3517495630.4279,3182468204.191998,0.00K,-2.41%
04/09/1999,3168435641.836568,3242014075.283358,3269392097.031,3146190999.166608,0.00K,-1.85%
04/12/1999,3231747317.127992,3395150271.364801,3407449418.457894,3166737539.635928,0.00K,2.0%
04/13/1999,3363523893.125417,3161452918.836972,3443239965.551134,3137352710.894313,0.00K,4.08%
04/14/1999,3708342252.920379,3168703328.917319,3773945416.230556,3156005942.470188,0.00K,10.25%
04/15/1999,3558089846.629332,3664271581.917257,4036909369.908842,3540058985.920063,0.00K,-4.05%
04/16/1999,3868621336.62232,3547794243.366768,3931440627.60942,3547794243.366768,0.00K,8.73%
04/19/1999,4413803040.546092,3669813116.267428,4553469019.111038,3554320095.531032,0.00K,14.09%
04/20/1999,4112984009.790819,4440913317.989136,4553486065.579602,4015094664.059979,0.00K,-6.82%
04/21/1999,3503622832.616338,3904907171.411556,4041979544.564378,3497663164.218389,0.00K,-14.82%
04/22/1999,3219545305.647444,3384847687.001077,3447058260.628788,3192883631.235568,0.00K,-8.11%
04/23/1999,3093346713.431232,3260235718.67902,3354637580.233324,3024231064.793259,0.00K,-3.92%
04/26/1999,2879256777.406291,3015755633.863586,3043362144.158319,2816375281.734953,0.00K,-6.92%
04/27/1999,3011154548.814462,2804293769.31603,3126801126.329334,2758686668.32425,0.00K,4.58%
04/28/1999,3320631305.544402,3054658409.711961,3365270113.236559,3019319353.622338,0.00K,10.28%
04/29/1999,3400609169.326184,3366046230.281651,3615667456.714402,3306521168.593842,0.00K,2.41%
04/30/1999,3335323617.797619,3260470647.134498,3690875228.44745,3208073567.670312,0.00K,-1.92%
05/03/1999,3387720697.261804,3364791961.578138,3559686214.889307,3322755946.15808,0.00K,1.57%
05/04/1999,3548221847.047472,3359118906.201962,3611256160.662642,3188316249.954406,0.00K,4.74%
05/05/1999,3224916819.15031,3504720503.125532,3789905027.1772,3224916819.15031,0.00K,-9.11%
05/06/1999,3576465037.478154,3275100726.894192,3679671993.157593,3180150327.669108,0.00K,10.9%
05/07/1999,3423718743.072584,3478269648.690583,3696473271.162584,3392546797.005155,0.00K,-4.27%
05/10/1999,3320461671.724225,3356004641.731414,3471986964.912768,3253117096.973762,0.00K,-3.02%
05/11/1999,3163324330.639811,3233503461.65789,3287892288.196898,3114198938.927158,0.00K,-4.73%
05/12/1999,2966822763.789197,3107076475.31772,3363402223.973299,2936192642.88067,0.00K,-6.21%
05/13/1999,3132870261.345956,2877869193.561982,3174503088.739258,2862256883.289494,0.00K,5.6%
05/14/1999,3309809777.767488,3315413293.192602,3386391155.244049,3199607307.74024,0.00K,5.65%
