Date,Price,Open,High,Low,Vol.,Change %,SMA_50,SMA_250
10/24/2025,617.1,615.99,618.42,615.13,47.63M,1.07%,590.7494,529.66932
10/23/2025,610.58,604.91,611.37,604.52,42.84M,0.84%,590.0052,529.1702
10/22/2025,605.49,610.82,611.41,599.74,61.48M,-0.96%,589.4004,528.68132
10/21/2025,611.38,611.64,612.72,609.32,44.54M,-0.03%,588.8916,528.2432
10/20/2025,611.54,607.14,612.8,607.07,45.76M,1.26%,588.121,527.77936
10/17/2025,603.93,597.95,605.51,596.37,72.02M,0.66%,587.3812,527.31108
10/16/2025,599.99,605.11,608.31,595.5,70.98M,-0.37%,586.6874,526.86036
10/15/2025,602.22,604.01,606.7,595.93,62.81M,0.71%,586.034,526.42404
10/14/2025,598.0,595.31,602.69,590.13,69.20M,-0.67%,585.195,525.97856
10/13/2025,602.01,599.68,602.95,597.23,65.87M,2.12%,584.517,525.57656
10/10/2025,589.5,611.4,613.18,589.05,97.61M,-3.47%,583.5544,525.14196
10/09/2025,610.7,611.48,611.61,607.48,45.55M,-0.12%,583.0646,524.75432
10/08/2025,611.44,605.41,611.75,605.26,50.63M,1.15%,582.211,524.28412
10/07/2025,604.51,609.02,609.71,603.03,58.21M,-0.53%,581.3274,523.79556
10/06/2025,607.71,608.45,609.36,605.97,41.96M,0.75%,580.6,523.30592
10/03/2025,603.18,606.51,607.33,601.39,46.48M,-0.42%,579.7732,522.82436
10/02/2025,605.73,607.06,607.16,602.93,43.77M,0.41%,579.0098,522.338
10/01/2025,603.25,597.17,603.79,596.34,46.90M,0.48%,578.1714,521.84288
09/30/2025,600.37,598.43,600.71,596.1,46.53M,0.27%,577.3314,521.35496
09/29/2025,598.73,599.11,602.05,597.41,48.33M,0.46%,576.6074,520.90576
09/26/2025,595.97,594.35,596.3,591.06,54.34M,0.41%,575.858,520.45784
09/25/2025,593.53,592.2,595.11,588.5,70.92M,-0.43%,575.1746,520.03184
09/24/2025,596.1,599.58,599.9,593.36,49.85M,-0.35%,574.4498,519.601
09/23/2025,598.2,602.37,602.57,596.98,64.64M,-0.66%,573.6622,519.15808
09/22/2025,602.2,597.74,602.87,597.72,57.15M,0.48%,572.8224,518.69744
09/19/2025,599.35,597.33,600.05,595.85,58.20M,0.68%,571.8624,518.2184
09/18/2025,595.32,594.91,598.14,592.96,61.07M,0.90%,570.9844,517.75444
09/17/2025,590.0,591.1,591.75,584.36,69.38M,-0.20%,570.203,517.25892
09/16/2025,591.18,592.61,592.86,590.49,36.94M,-0.08%,569.4498,516.79288
09/15/2025,591.68,588.44,591.79,588.29,44.36M,0.86%,568.6668,516.32112
09/12/2025,586.66,585.04,587.86,584.1,50.75M,0.44%,567.9576,515.85576
09/11/2025,584.08,583.24,584.88,581.62,44.75M,0.58%,567.2404,515.402
09/10/2025,580.7,583.74,583.77,578.55,49.31M,0.03%,566.4986,514.94016
09/09/2025,580.51,579.67,580.94,577.04,44.01M,0.28%,565.9174,514.452
09/08/2025,578.87,578.37,580.84,577.77,46.37M,0.49%,565.269,513.9478
09/05/2025,576.06,580.49,581.12,571.53,68.34M,0.14%,564.616,513.42708
09/04/2025,575.23,570.74,575.6,569.03,47.53M,0.91%,563.918,512.967
09/03/2025,570.07,569.23,571.7,566.72,54.23M,0.79%,563.209,512.50852
09/02/2025,565.62,561.31,565.97,559.53,65.88M,-0.84%,562.4406,512.07548
08/29/2025,570.4,574.66,575.03,568.54,56.03M,-1.16%,561.6648,511.71808
08/28/2025,577.08,574.11,578.0,572.46,46.79M,0.63%,560.8366,511.31912
08/27/2025,573.49,571.59,574.41,570.37,36.93M,0.15%,559.8766,510.8962
08/26/2025,572.61,569.83,572.92,568.8,34.10M,0.40%,559.0926,510.50928
08/25/2025,570.32,570.4,573.29,569.16,34.04M,-0.29%,558.1796,510.1202
08/22/2025,571.97,564.67,573.99,563.27,51.50M,1.54%,557.4464,509.75892
08/21/2025,563.28,564.35,566.49,560.98,46.44M,-0.46%,556.6552,509.37044
08/20/2025,565.9,568.33,568.45,558.84,76.78M,-0.59%,556.0738,509.04732
08/19/2025,569.28,576.39,576.56,568.25,53.75M,-1.36%,555.3698,508.70476
08/18/2025,577.11,576.44,577.77,575.24,29.83M,-0.04%,554.5826,508.35272
08/15/2025,577.34,579.8,579.84,575.57,49.48M,-0.44%,553.5362,507.9444
08/14/2025,579.89,578.28,581.88,577.91,45.43M,-0.08%,552.5648,507.53272
08/13/2025,580.34,582.76,583.32,578.94,41.21M,0.05%,551.513,507.06408
08/12/2025,580.05,575.16,580.35,572.48,42.27M,1.26%,550.3704,506.59304
08/11/2025,572.85,574.69,576.8,571.57,33.11M,-0.30%,549.1516,506.07836
08/08/2025,574.55,570.45,574.77,570.15,35.26M,0.93%,548.0932,505.5886
08/07/2025,569.24,571.67,573.32,565.11,44.46M,0.34%,546.9804,505.08268
08/06/2025,567.32,561.11,567.76,560.63,41.82M,1.26%,546.02,504.5448
08/05/2025,560.27,565.39,566.56,559.73,48.67M,-0.68%,544.8584,504.03364
